Path,Name,Size,CreationTime
c:\projects\monitorwang\solutions\HelloWorldHealthCheck\HelloWorldCheck.cs,HelloWorldCheck.cs,1934,04/08/2010 00:21:00
c:\projects\monitorwang\solutions\MonitorWang.Agent\CmdLine.cs,CmdLine.cs,7600,05/08/2010 09:14:52
c:\projects\monitorwang\solutions\MonitorWang.Agent\Startup.cs,Startup.cs,3261,21/04/2010 22:03:48
c:\projects\monitorwang\solutions\MonitorWang.Contrib.Checks.LogParser\CSVLogParserCheck.cs,CSVLogParserCheck.cs,2347,16/08/2010 10:04:20
c:\projects\monitorwang\solutions\MonitorWang.Contrib.Checks.LogParser\EVTLogParserCheck.cs,EVTLogParserCheck.cs,2912,12/08/2010 07:44:29
c:\projects\monitorwang\solutions\MonitorWang.Contrib.Checks.LogParser\IISLogParserCheck.cs,IISLogParserCheck.cs,2934,12/08/2010 17:45:17
c:\projects\monitorwang\solutions\MonitorWang.Contrib.Checks.LogParser\IISW3CLogParserCheck.cs,IISW3CLogParserCheck.cs,3380,12/08/2010 20:11:55
c:\projects\monitorwang\solutions\MonitorWang.Contrib.Checks.LogParser\ScalarLogParserCheckBase.cs,ScalarLogParserCheckBase.cs,4730,11/08/2010 21:05:31
c:\projects\monitorwang\solutions\MonitorWang.Contrib.Checks.LogParser\ScalarLogParserCheckConfigBase.cs,ScalarLogParserCheckConfigBase.cs,1174,11/08/2010 21:05:31
c:\projects\monitorwang\solutions\MonitorWang.Contrib.Checks.LogParser\TextLineLogParserCheck.cs,TextLineLogParserCheck.cs,2186,16/08/2010 09:02:08
c:\projects\monitorwang\solutions\MonitorWang.Core\Container.cs,Container.cs,1771,21/04/2010 23:15:28
c:\projects\monitorwang\solutions\MonitorWang.Core\Extensions.cs,Extensions.cs,1998,12/08/2010 19:56:24
c:\projects\monitorwang\solutions\MonitorWang.Core\Logger.cs,Logger.cs,733,24/05/2010 15:58:13
c:\projects\monitorwang\solutions\MonitorWang.Core\SerialisationHelper.cs,SerialisationHelper.cs,2288,13/05/2010 15:58:32
c:\projects\monitorwang\solutions\MonitorWang.Core\SmartLocation.cs,SmartLocation.cs,3241,06/05/2010 20:04:09
c:\projects\monitorwang\solutions\MonitorWang.Core\TypeDiscovery.cs,TypeDiscovery.cs,4900,22/07/2010 22:01:14
c:\projects\monitorwang\solutions\MonitorWang.Tests\CmdLineArgTests.cs,CmdLineArgTests.cs,3674,07/06/2010 23:54:50
c:\projects\monitorwang\solutions\Build\Common\AssemblyInfo.cs,AssemblyInfo.cs,612,21/04/2010 21:55:52
c:\projects\monitorwang\solutions\Build\Common\AssemblyVersion.cs,AssemblyVersion.cs,412,21/04/2010 21:55:52
c:\projects\monitorwang\solutions\Build\Common\CommonAssemblyInfo.cs,CommonAssemblyInfo.cs,820,21/04/2010 21:55:52
c:\projects\monitorwang\solutions\HelloWorldHealthCheck\Properties\AssemblyInfo.cs,AssemblyInfo.cs,1454,04/08/2010 00:21:00
c:\projects\monitorwang\solutions\MonitorWang.Agent\Profiles\DefaultAgentProfile.cs,DefaultAgentProfile.cs,1201,14/05/2010 09:36:29
c:\projects\monitorwang\solutions\MonitorWang.Agent\Profiles\ProfileBase.cs,ProfileBase.cs,966,21/05/2010 22:17:24
c:\projects\monitorwang\solutions\MonitorWang.Agent\Properties\AssemblyInfo.cs,AssemblyInfo.cs,544,21/04/2010 22:03:48
c:\projects\monitorwang\solutions\MonitorWang.Agent\Roles\Agent.cs,Agent.cs,5902,10/05/2010 23:47:00
c:\projects\monitorwang\solutions\MonitorWang.Contrib.Checks.LogParser\Properties\AssemblyInfo.cs,AssemblyInfo.cs,1484,11/08/2010 21:05:07
c:\projects\monitorwang\solutions\MonitorWang.Core\Bus\BusHealthCheckPublishers.cs,BusHealthCheckPublishers.cs,2570,12/05/2010 08:52:13
c:\projects\monitorwang\solutions\MonitorWang.Core\Bus\BusPublisherConfig.cs,BusPublisherConfig.cs,409,14/05/2010 11:43:30
c:\projects\monitorwang\solutions\MonitorWang.Core\Bus\BusStartups.cs,BusStartups.cs,2993,26/07/2010 09:22:41
c:\projects\monitorwang\solutions\MonitorWang.Core\Bus\BusToPublisherBridges.cs,BusToPublisherBridges.cs,2144,11/05/2010 13:57:26
c:\projects\monitorwang\solutions\MonitorWang.Core\Bus\BusZeroConfig.cs,BusZeroConfig.cs,1234,26/07/2010 13:26:42
c:\projects\monitorwang\solutions\MonitorWang.Core\Checks\FileInfoCheck.cs,FileInfoCheck.cs,2599,28/07/2010 13:07:45
c:\projects\monitorwang\solutions\MonitorWang.Core\Checks\FolderInfoCheck.cs,FolderInfoCheck.cs,2686,08/08/2010 12:58:38
c:\projects\monitorwang\solutions\MonitorWang.Core\Checks\MsmqQueueInfoCheck.cs,MsmqQueueInfoCheck.cs,3392,28/07/2010 13:07:59
c:\projects\monitorwang\solutions\MonitorWang.Core\Checks\MsmqQueueNotEmptyCheck.cs,MsmqQueueNotEmptyCheck.cs,1873,28/07/2010 13:07:59
c:\projects\monitorwang\solutions\MonitorWang.Core\Checks\WmiProcessRunningCheck.cs,WmiProcessRunningCheck.cs,3362,28/07/2010 13:07:59
c:\projects\monitorwang\solutions\MonitorWang.Core\Containers\WindsorContainer.cs,WindsorContainer.cs,4392,21/04/2010 23:18:08
c:\projects\monitorwang\solutions\MonitorWang.Core\Growl\GrowlConfiguration.cs,GrowlConfiguration.cs,485,08/05/2010 21:48:29
c:\projects\monitorwang\solutions\MonitorWang.Core\Growl\GrowlConnection.cs,GrowlConnection.cs,2007,23/04/2010 17:40:56
c:\projects\monitorwang\solutions\MonitorWang.Core\Growl\GrowlHealthCheckPublishers.cs,GrowlHealthCheckPublishers.cs,4417,12/05/2010 08:52:20
c:\projects\monitorwang\solutions\MonitorWang.Core\Growl\GrowlStartup.cs,GrowlStartup.cs,1287,26/07/2010 10:53:54
c:\projects\monitorwang\solutions\MonitorWang.Core\Growl\IGrowlConnection.cs,IGrowlConnection.cs,205,08/05/2010 21:48:45
c:\projects\monitorwang\solutions\MonitorWang.Core\Hosts\PluginHostBase.cs,PluginHostBase.cs,1707,21/04/2010 23:48:21
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\IActivityPlugin.cs,IActivityPlugin.cs,232,27/07/2010 00:12:49
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\ICanBeSwitchedOff.cs,ICanBeSwitchedOff.cs,133,28/07/2010 10:14:40
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\IContainer.cs,IContainer.cs,633,21/04/2010 23:18:28
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\IHealthCheckActivityPlugin.cs,IHealthCheckActivityPlugin.cs,430,28/07/2010 12:46:17
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\IHealthCheckPlugin.cs,IHealthCheckPlugin.cs,1174,06/05/2010 20:12:11
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\IHealthCheckPublishers.cs,IHealthCheckPublishers.cs,641,23/04/2010 15:39:30
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\ILoader.cs,ILoader.cs,132,25/07/2010 21:38:47
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\IPlugin.cs,IPlugin.cs,333,25/07/2010 22:04:08
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\IProfileLoader.cs,IProfileLoader.cs,332,22/07/2010 22:34:45
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\IRolePlugin.cs,IRolePlugin.cs,224,10/05/2010 23:48:08
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\IRoleProfile.cs,IRoleProfile.cs,343,11/05/2010 15:18:03
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\IServicePlugin.cs,IServicePlugin.cs,377,21/04/2010 23:06:46
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\IStartupPlugin.cs,IStartupPlugin.cs,267,26/07/2010 09:21:41
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\ITypeDiscovery.cs,ITypeDiscovery.cs,719,22/07/2010 22:06:49
c:\projects\monitorwang\solutions\MonitorWang.Core\Loaders\ContainerLoaders.cs,ContainerLoaders.cs,1741,25/07/2010 21:24:33
c:\projects\monitorwang\solutions\MonitorWang.Core\Loaders\HealthCheckBindingLoader.cs,HealthCheckBindingLoader.cs,6330,28/07/2010 09:26:58
c:\projects\monitorwang\solutions\MonitorWang.Core\Loaders\HealthCheckLoader.cs,HealthCheckLoader.cs,1168,27/07/2010 22:14:42
c:\projects\monitorwang\solutions\MonitorWang.Core\Loaders\ProfileLoader.cs,ProfileLoader.cs,1466,22/07/2010 21:59:51
c:\projects\monitorwang\solutions\MonitorWang.Core\Loaders\ScanningLoaders.cs,ScanningLoaders.cs,2324,25/07/2010 23:31:30
c:\projects\monitorwang\solutions\MonitorWang.Core\Properties\AssemblyInfo.cs,AssemblyInfo.cs,540,21/04/2010 22:05:51
c:\projects\monitorwang\solutions\MonitorWang.Core\Publishers\PublisherBase.cs,PublisherBase.cs,411,25/07/2010 22:49:13
c:\projects\monitorwang\solutions\MonitorWang.Core\Publishers\ResultPublisherBase.cs,ResultPublisherBase.cs,882,14/05/2010 09:53:41
c:\projects\monitorwang\solutions\MonitorWang.Core\Schedulers\HealthCheckIntervalScheduler.cs,HealthCheckIntervalScheduler.cs,3093,28/07/2010 08:54:50
c:\projects\monitorwang\solutions\MonitorWang.Core\Schedulers\IntervalSchedulerBase.cs,IntervalSchedulerBase.cs,2137,28/07/2010 08:45:11
c:\projects\monitorwang\solutions\MonitorWang.Core\Schedulers\IntervalSchedulerConfig.cs,IntervalSchedulerConfig.cs,239,28/07/2010 10:10:27
c:\projects\monitorwang\solutions\MonitorWang.Core\Sql\AdhocCommand.cs,AdhocCommand.cs,7588,12/05/2010 08:57:12
c:\projects\monitorwang\solutions\MonitorWang.Core\Sql\SqlConfiguration.cs,SqlConfiguration.cs,414,13/05/2010 16:38:14
c:\projects\monitorwang\solutions\MonitorWang.Core\Sql\SqlHealthCheckPublishers.cs,SqlHealthCheckPublishers.cs,7432,12/05/2010 08:52:43
c:\projects\monitorwang\solutions\MonitorWang.Core\Sql\SqlStatement.cs,SqlStatement.cs,8815,13/05/2010 15:20:47
c:\projects\monitorwang\solutions\MonitorWang.Core\Wcf\IMonitorWang.cs,IMonitorWang.cs,459,29/07/2010 15:27:18
c:\projects\monitorwang\solutions\MonitorWang.Core\Wcf\MonitorWangService.cs,MonitorWangService.cs,1372,29/07/2010 15:33:11
c:\projects\monitorwang\solutions\MonitorWang.Core\Wcf\WcfPublisherConfiguration.cs,WcfPublisherConfiguration.cs,204,29/07/2010 15:36:43
c:\projects\monitorwang\solutions\MonitorWang.Core\Wcf\WcfPublishers.cs,WcfPublishers.cs,2675,29/07/2010 15:34:16
c:\projects\monitorwang\solutions\MonitorWang.Core\Wcf\WcfServiceActivity.cs,WcfServiceActivity.cs,3755,26/07/2010 23:59:23
c:\projects\monitorwang\solutions\MonitorWang.Tests\Properties\AssemblyInfo.cs,AssemblyInfo.cs,542,07/06/2010 23:35:11
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\Bus\HealthCheckAgentStartNotification.cs,HealthCheckAgentStartNotification.cs,214,23/04/2010 15:31:09
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\Bus\HealthCheckResultNotification.cs,HealthCheckResultNotification.cs,206,23/04/2010 15:31:09
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\Entities\AgentConfiguration.cs,AgentConfiguration.cs,147,11/05/2010 16:24:10
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\Entities\AgentInfo.cs,AgentInfo.cs,522,23/04/2010 15:28:45
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\Entities\Binding.cs,Binding.cs,214,28/07/2010 10:13:27
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\Entities\BindingConfiguration.cs,BindingConfiguration.cs,234,28/07/2010 08:19:43
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\Entities\ConfigBase.cs,ConfigBase.cs,160,28/07/2010 11:39:31
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\Entities\CriticalFailureDetails.cs,CriticalFailureDetails.cs,414,03/08/2010 09:55:53
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\Entities\HealthCheckAgentStart.cs,HealthCheckAgentStart.cs,1342,23/04/2010 15:28:45
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\Entities\HealthCheckConfigBase.cs,HealthCheckConfigBase.cs,269,28/07/2010 10:46:23
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\Entities\HealthCheckData.cs,HealthCheckData.cs,1898,23/04/2010 15:28:45
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\Entities\HealthCheckResult.cs,HealthCheckResult.cs,1292,23/04/2010 15:28:45
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\Entities\PluginDescriptor.cs,PluginDescriptor.cs,790,23/04/2010 15:28:45
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\Entities\PublisherConfigBase.cs,PublisherConfigBase.cs,174,29/07/2010 15:40:12
c:\projects\monitorwang\solutions\MonitorWang.Core\Interfaces\Entities\ResultProperties.cs,ResultProperties.cs,270,23/04/2010 15:28:45
